Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,-7236.21,76,-1.11,-94.77,15000.0,-7236.21,189.53,0.0,-189.53,0.0,-189.53,16121.0
2013-01-01,CNY,-6107.24,68,-1.71,-90.06,15000.0,-6107.24,90.06,0.0,-90.06,0.0,-90.06,16121.0
2013-01-01,COP,5840.23,76,1.5,77.27,15000.0,5840.23,231.81,-0.0,-231.81,0.0,-231.81,16121.0
2013-01-01,CZK,5678.17,39,1.67,145.71,15000.0,5678.17,218.57,0.0,-218.57,0.0,-218.57,16121.0
2013-01-01,HUF,2961.45,104,1.89,28.37,15000.0,2961.45,85.1,0.0,-85.1,0.0,-85.1,16121.0
2013-01-01,INR,4057.0,56,0.83,71.88,15000.0,4057.0,143.77,0.0,-143.77,0.0,-143.77,16121.0
2013-01-01,ILS,5191.79,54,1.72,96.0,15000.0,5191.79,192.0,0.0,-192.0,0.0,-192.0,16121.0
2013-01-01,KRW,0.0,57,0.77,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16121.0
2013-01-01,MXN,-4474.24,46,-0.83,-97.37,15000.0,-4474.24,97.37,-0.0,-97.37,0.0,-97.37,16121.0
2013-01-01,PLN,5506.06,67,2.45,82.63,15000.0,5506.06,123.94,-0.0,-123.94,0.0,-123.94,16121.0
2013-01-01,ZAR,2823.76,66,0.96,42.71,15000.0,2823.76,64.07,0.0,-64.07,0.0,-64.07,16121.0
2013-01-02,CLP,-7236.21,76,-1.14,-95.14,15000.0,0.0,0.0,417.57,417.57,417.57,228.04,16115.0
2013-01-02,CNY,-6107.24,67,-1.73,-90.5,15000.0,0.0,0.0,588.63,588.63,588.63,498.57,16115.0
2013-01-02,COP,5840.23,75,1.51,77.57,15000.0,0.0,0.0,178.56,178.56,178.56,-53.26,16115.0
2013-01-02,CZK,5678.17,39,1.65,146.19,15000.0,0.0,0.0,-532.3,-532.3,-532.3,-750.87,16115.0
2013-01-02,HUF,2961.45,104,1.9,28.46,15000.0,0.0,0.0,166.84,166.84,166.84,81.73,16115.0
2013-01-02,INR,4057.0,56,0.86,72.13,15000.0,0.0,0.0,-14.16,-14.16,-14.16,-157.93,16115.0
2013-01-02,ILS,5191.79,54,1.7,96.2,15000.0,0.0,0.0,-492.88,-492.88,-492.88,-684.89,16115.0
2013-01-02,KRW,0.0,57,0.77,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16115.0
2013-01-02,MXN,-4474.24,46,-0.82,-97.88,15000.0,0.0,0.0,-109.08,-109.08,-109.08,-206.45,16115.0
2013-01-02,PLN,5506.06,67,2.41,82.11,15000.0,0.0,0.0,-600.78,-600.78,-600.78,-724.71,16115.0
2013-01-02,ZAR,2823.76,66,0.96,42.95,15000.0,0.0,0.0,15.54,15.54,15.54,-48.53,16115.0
2013-01-03,CLP,-7236.21,76,-1.17,-95.61,15000.0,0.0,0.0,46.95,46.95,464.52,274.99,16077.0
2013-01-03,CNY,-6107.24,67,-1.75,-90.88,15000.0,0.0,0.0,15.91,15.91,604.54,514.48,16077.0
2013-01-03,COP,5840.23,75,1.54,77.94,15000.0,0.0,0.0,258.18,258.18,436.74,204.93,16077.0
2013-01-03,CZK,5678.17,39,1.63,146.58,15000.0,0.0,0.0,-136.92,-136.92,-669.22,-887.79,16077.0
2013-01-03,HUF,2961.45,103,1.9,28.62,15000.0,0.0,0.0,50.59,50.59,217.43,132.32,16077.0
2013-01-03,INR,4057.0,56,0.88,72.4,15000.0,0.0,0.0,-22.72,-22.72,-36.88,-180.64,16077.0
