Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST,PX_LAST
1/4/12,4.39,2.65,5.24,1.35,8.42,7.225,2.42,3.315,5.092,4.802,5.951,4.3582,2.60515,5.3254,1.35315,8.6688,7.0572,2.4613,3.2842,5.1997,4.7594,6.1399,512,6.31,1882.53,19.9882,247.62,52.975,3.8475,1148.7,13.7,3.4745,8.1242,99.7,99.13,101.71,99.29,99.6,98.66,99.36,98.14,100.5,99.86,101.96,2306.47,53.68,1081.31,321.43,906.53,614.13,207.94,532.47,5727.24,1513.45,852.19,15.61,4.615,13.84,19.1975,24.4425,11.73,10.355,14.155,16.275,21.895,22.1725,,,,,,,,,,,
1/5/12,4.43,2.635,5.25,1.39,8.3838,7.255,2.44,3.305,5.094,4.835,5.972,4.3968,2.61394,5.3312,1.39334,8.5174,7.0646,2.4613,3.2721,5.1951,4.802,6.1269,514.5,6.312,1879.06,20.2129,249.38,52.985,3.8456,1152.65,13.7661,3.5224,8.1789,99.78,99.16,101.65,99.34,99.62,98.68,99.39,98.23,100.53,99.89,102.04,2304.98,53.86,1086.4,313.68,888.44,613.74,209.72,530.31,5667.36,1494.25,842.24,15.57,4.54,13.72,19.28,24.77,11.5325,10.345,14.11,15.985,21.925,21.83,,,,,,,,,,,
1/6/12,4.53,2.65,5.325,1.385,8.2675,7.28,2.46,3.32,5.14,4.833,5.984,4.489,2.62345,5.4443,1.37703,8.3108,7.0852,2.462,3.289,5.2523,4.8125,6.1396,512.7,6.307,1881.5,20.339,247.17,52.7212,3.839,1162.77,13.7391,3.5377,8.1756,99.86,99.17,101.66,99.34,99.61,98.68,99.39,98.23,100.51,99.89,102,2312.17,53.2,1077.31,307.9,881.29,614.19,209.52,524.05,5636.15,1494.25,851.66,15.27,4.455,13.805,19.03,24.21,11.5325,10.245,14.285,15.62,21.375,21.4625,,,,,,,,,,,
1/9/12,4.525,2.7,5.325,1.4,8.28,7.275,2.47,3.3475,5.15,4.804,6.02,4.4756,2.6857,5.4443,1.40105,8.3747,7.1021,2.4968,3.3208,5.2624,4.7593,6.1752,511.4,6.314,1881.5,20.1719,247.2,52.515,3.844,1163.72,13.6968,3.5177,8.1586,99.67,99.16,101.63,99.31,99.6,98.69,99.39,98.18,100.49,99.88,102,2300.35,54.27,1079.14,312.39,913.8,613.73,209.5,518.46,5634.73,1474.49,851.25,14.88,4.065,13.555,18.345,23.6025,11.3525,10.105,14.09,15.005,20.86,20.785,,,,,,,,,,,
1/10/12,4.555,2.72,5.33,1.4075,7.9662,7.365,2.5,3.3575,5.112,4.803,5.973,4.5096,2.68949,5.4152,1.42904,8.0098,7.1611,2.5387,3.3303,5.2149,4.759,6.1278,509.3,6.313,1858.87,20.1848,242.96,51.705,3.8366,1156.7,13.6329,3.4862,8.111,100.22,99.12,101.69,99.26,99.56,98.64,99.36,98.14,100.51,99.89,102.13,2329.4,54.98,1094.95,316.57,937.3,627.18,214.12,525.76,5735.15,1482.9,853.65,14.63,3.81,13.3875,18.1375,23.205,10.875,10.095,13.53,14.468,20.28,19.375,,,,,,,,,,,
1/11/12,4.54,2.77,5.3,1.39,7.9989,7.36,2.5,3.345,5.075,4.825,5.98,4.4896,2.7592,5.362,1.39523,8.001,7.233,2.5297,3.3151,5.1809,4.7984,6.1267,506.82,6.3105,1849.5,20.3467,244.67,51.8925,3.8481,1159.02,13.6087,3.5144,8.0929,100.37,99.14,101.7,99.29,99.58,98.66,99.39,98.17,100.55,99.93,102.2,2335.48,55.55,1097.2,310.82,918.09,629.25,212.76,523.28,5726.36,1478.05,848.85,14.66,3.815,13.1825,17.79,22.47,10.8275,10.02,13.2875,14.283,19.96,18.68,,,,,,,,,,,
1/12/12,4.525,2.76,5.275,1.4,8.03,7.395,2.48,3.355,5.025,4.85,5.94,4.475,2.72689,5.3818,1.40627,8.0238,7.1989,2.5058,3.3264,5.1206,4.8177,6.0808,503.6,6.3133,1835.14,19.9373,240.3,51.59,3.8307,1158.05,13.5323,3.4349,8.051,100.97,99.15,101.66,99.29,99.54,98.68,99.43,98.25,100.59,100.02,102.3,2356.38,55.41,1082.2,312.22,935.91,624.61,212.7,528.76,5763.11,1502.33,851.74,14.64,3.815,13.0225,16.82,21.72,10.8175,9.95,13.1725,14.113,18.9025,17.83,,,,,,,,,,,
1/13/12,4.355,2.8,5.28,1.36,8.1675,7.375,2.5,3.3675,5.035,4.86,6.01,4.323,2.74084,5.3679,1.37551,8.198,7.1725,2.5066,3.3398,5.1305,4.8259,6.1592,503.6,6.304,1838.16,20.1951,244.88,51.5275,3.8474,1148.45,13.5985,3.4779,8.1299,100.97,99.17,101.61,99.3,99.56,98.71,99.44,98.29,100.6,100.04,102.23,2344.43,55.75,1091.28,304.18,955.41,628.64,211.61,532.92,5631,1502.04,848.97,14.65,3.765,12.935,16.99,21.4325,10.7775,9.72,12.945,14.123,18.38,17.4025,,,,,,,,,,,
1/16/12,4.355,2.78,5.28,1.36,8.21,7.41,2.47,3.3575,5.04,4.84,5.99,4.3252,2.77585,5.3254,1.35308,8.3008,7.2405,2.489,3.3285,5.1305,4.8028,6.1663,501.3,6.3095,1846,20.2254,246.83,51.395,3.8534,1154.85,13.5528,3.4743,8.1092,101.28,99.14,101.66,99.26,99.55,98.68,99.41,98.27,100.62,100,102.26,2369.6,54.97,1077.26,306.24,957.3,629.63,211.13,527.93,5723.38,1511.91,856.97,14.65,3.765,12.98,17.03,21.4675,10.7675,9.9075,12.975,14.153,18.545,17.28,,,,,,,,,,,
1/17/12,4.39,2.8,5.2498,1.375,8.165,7.545,2.54,3.38,5.02,4.83,5.9975,4.3618,2.80972,5.3344,1.39592,8.2203,7.3851,2.5682,3.3546,5.1089,4.7909,6.1533,501.3,6.296,1835.5,20.11,242.68,50.7112,3.8324,1145.47,13.4381,3.4211,8.0301,101.37,99.13,101.7,99.25,99.54,98.66,99.4,98.25,100.63,99.98,102.29,2382.33,57.08,1092.23,303.16,971.46,641.32,214.28,538.19,5705.64,1531.48,865.23,14.68,3.765,12.9525,16.86,21.325,10.5425,9.8,11.9375,13.93,18.435,16.985,,,,,,,,,,,
