date,CLP,CNY,COP,CZK,HUF,INR,ILS,KRW,MXN,PLN
2014-05-14,,,,,,,,0.00097,,0.3278
2014-05-15,,,,,,,,0.00097,,0.32743
2014-05-18,,,,,,,,0.001,,0.32717
2014-05-19,,,,,,,,0.00098,,0.32742
2014-05-20,,,,,,,,0.00098,,0.32736
2014-05-21,,,,,,,,0.00097,,0.32757
2014-05-22,,,,,,,,0.00098,,0.32865
2014-05-25,,,,,,,,0.00098,,0.32825
2014-05-26,,,,,,,,0.00098,,0.32803
2014-05-27,,,,,,,,0.00098,,0.32771
2014-05-28,,,,,,,,0.00098,,0.3274
2014-05-29,,,,,,,,0.00098,,0.32882
2014-06-01,,,,,,,,0.00098,,0.32947
2014-06-02,,,,,,,,0.00098,,0.32837
2014-06-03,,,,,,,,0.00098,,0.32828
2014-06-04,,,,,,,,0.00097,,0.32958
2014-06-05,,,,,,,,0.00098,,0.33128
2014-06-08,,,,,,,,0.00098,,0.33315
2014-06-09,,,,,,,,0.00098,,0.33113
2014-06-10,,,,,,,,0.00098,,0.32977
2014-06-11,,,,,,,,0.00098,,0.32983
2014-06-12,,,,,,,,0.00098,,0.3295
2014-06-15,,,,,,,,0.00098,,0.3275
2014-06-16,,,,,,,,0.00098,,0.32788
2014-06-17,,,,,,,,0.00098,,0.32715
2014-06-18,,,,,,,,0.00098,,0.3295
2014-06-19,,,,,,,,0.00098,,0.32822
2014-06-22,,,,,,,,0.00098,,0.32611
2014-06-23,,,,,,,,0.00098,,0.32689
2014-06-24,,,,,,,,0.00098,,0.32791
2014-06-25,,,,,,,,0.00098,,0.32953
2014-06-26,,,,,,,,0.00098,,0.32804
2014-06-29,,,,,,,,0.00099,,0.32888
2014-06-30,,,,,,,,0.00099,,0.3297
2014-07-01,,,,,,,,0.00099,,0.32904
2014-07-02,,,,,,,,0.00099,,0.32949
2014-07-03,,,,,,,,0.00099,,0.3286
2014-07-06,,,,,,,,0.00099,,0.32758
2014-07-07,,,,,,,,0.00099,,0.32846
2014-07-08,,,,,,,,0.00099,,0.3305
2014-07-09,,,,,,,,0.00099,,0.33091
2014-07-10,,,,,,,,0.00099,,0.32887
2014-07-13,,,,,,,,0.00098,,0.32886
2014-07-14,,,,,,,,0.00098,,0.32964
2014-07-15,,,,,,,,0.00097,,0.32817
2014-07-16,,,,,,,,0.00097,,0.32734
2014-07-17,,,,,,,,0.00097,,0.32588
2014-07-20,,,,,,,,0.00097,,0.32665
2014-07-21,,,,,,,,0.00097,,0.32653
2014-07-22,,,,,,,,0.00098,,0.32545
2014-07-23,,,,,,,,0.00098,,0.32561
2014-07-24,,,,,,,,0.00097,,0.32532
2014-07-27,,,,,,,,0.00098,,0.32434
2014-07-28,,,,,,,,0.00097,,0.32442
2014-07-29,,,,,,,,0.00098,,0.3234
2014-07-30,,,,,,,,0.00098,,0.32259
2014-07-31,,,,,,,,0.00097,,0.32062
2014-08-03,,,,,,,,0.00097,,0.32121
2014-08-04,,,,,,,,0.00097,,0.3218
2014-08-05,,,,,,,,0.00097,,0.3197
2014-08-06,,,,,,,,0.00097,,0.31877
2014-08-07,,,,,,,,0.00096,,0.31726
2014-08-10,,,,,,,,0.00097,,0.31991
2014-08-11,,,,,,,,0.00097,,0.31922
2014-08-12,,,,,,,,0.00097,,0.31834
2014-08-13,,,,,,,,0.00097,,0.31925
2014-08-14,,,,,,,,0.00098,,0.32017
2014-08-17,,,,,,,,0.00098,,0.31874
2014-08-18,,,,,,,,0.00098,,0.3194
2014-08-19,,,,,,,,0.00098,,0.31885
2014-08-20,,,,,,,,0.00098,,0.31692
2014-08-21,,,,,,,,0.00098,,0.31733
2014-08-24,,,,,,,,0.00098,,0.3154
2014-08-25,,,,,,,,0.00098,,0.31532
2014-08-26,,,,,,,,0.00098,,0.31472
2014-08-27,,,,,,,,0.00099,,0.31418
2014-08-28,,,,,,,,0.00099,,0.31244
2014-08-31,,,,,,,,0.00099,,0.31214
2014-09-01,,,,,,,,0.00099,,0.31246
2014-09-02,,,,,,,,0.00098,,0.31197
2014-09-03,,,,,,,,0.00098,,0.31367
2014-09-04,,,,,,,,0.00098,,0.30881
2014-09-07,,,,,,,,0.00098,,0.31023
2014-09-08,,,,,,,,0.00098,,0.30851
2014-09-09,,,,,,,,0.00097,,0.30784
2014-09-10,,,,,,,,0.00097,,0.30808
2014-09-11,,,,,,,,0.00097,,0.30834
2014-09-14,,,,,,,,0.00099,,0.30868
2014-09-15,,,,,,,,0.00096,,0.30857
2014-09-16,,,,,,,,0.00097,,0.30958
2014-09-17,,,,,,,,0.00097,,0.30698
2014-09-18,,,,,,,,0.00096,,0.30761
2014-09-21,,,,,,,,0.00098,,0.3071
2014-09-22,,,,,,,,0.00096,,0.30736
2014-09-23,,,,,,,,0.00096,,0.30807
2014-09-24,,,,,,,,0.00096,,0.30647
2014-09-25,,,,,,,,0.00096,,0.30518
2014-09-28,,,,,,,,0.00097,,0.30323
2014-09-29,,,,,,,,0.00095,,0.30382
2014-09-30,,,,,,,,0.00095,,0.30223
2014-10-01,,,,,,,,0.00094,,0.30241
2014-10-02,,,,,,,,0.00094,,0.30375
2014-10-05,,,,,,,,0.00094,,0.29884
2014-10-06,,,,,,,,0.00094,,0.3027
2014-10-07,,,,,,,,0.00094,,0.30279
2014-10-08,,,,,,,,0.00093,,0.30537
2014-10-09,,,,,,,,0.00094,,0.30367
2014-10-12,,,,,,,,0.00095,,0.30204
2014-10-13,,,,,,,,0.00094,,0.30339
2014-10-14,,,,,,,,0.00094,,0.30081
2014-10-15,,,,,,,,0.00094,,0.30401
2014-10-16,,,,,,,,0.00094,,0.30286
2014-10-19,,,,,,,,0.00094,,0.30231
2014-10-20,,,,,,,,0.00095,,0.30289
2014-10-21,,,,,,,,0.00095,,0.30132
2014-10-22,,,,,,,,0.00095,,0.29901
2014-10-23,,,,,,,,0.00094,,0.29934
2014-10-26,,,,,,,,0.00095,,0.30118
2014-10-27,,,,,,,,0.00095,,0.3007
2014-10-28,,,,,,,,0.00096,,0.3023
2014-10-29,,,,,,,,0.00095,,0.29925
2014-10-30,,,,,,,,0.00095,,0.29951
2014-11-02,,,,,,,,0.00095,,0.29613
2014-11-03,,,,,,,,0.00093,,0.29608
2014-11-04,,,,,,,,0.00093,,0.29696
2014-11-05,,,,,,,,0.00092,,0.29522
2014-11-06,,,,,,,,0.00092,,0.29373
2014-11-09,,,,,,,,0.00094,,0.29493
2014-11-10,,,,,,,,0.00092,,0.29462
2014-11-11,,,,,,,,0.00091,,0.29592
2014-11-12,,,,,,,,0.00091,,0.29476
2014-11-13,,,,,,,,0.00091,,0.2945
2014-11-16,,,,,,,,0.00091,,0.29629
2014-11-17,,,,,,,,0.00091,,0.29503
2014-11-18,,,,,,,,0.00091,,0.29753
2014-11-19,,,,,,,,0.0009,,0.29721
2014-11-20,,,,,,,,0.0009,,0.29788
2014-11-23,,,,,,,,0.0009,,0.2948
2014-11-24,,0.1628,0.00046,0.04506,0.00404,0.01616,0.25888,0.0009,0.0732,0.29638
2014-11-25,,0.1629,0.00046,0.04519,0.00405,0.01616,0.25817,0.0009,0.0731,0.29895
2014-11-26,,0.1628,0.00046,0.04532,0.00405,0.01618,0.25779,0.00091,0.0728,0.29932
2014-11-27,,0.1628,0.00046,0.04507,0.00403,0.01616,0.25651,0.00091,0.0726,0.29837
2014-11-28,,0.1627,0.00045,0.04507,0.00405,0.01606,0.25691,,0.0717,
2014-11-30,,,,,,,,0.00092,,0.29761
2014-12-01,,0.1625,0.00044,0.04515,0.00405,0.01614,0.25476,0.0009,0.0715,0.29874
2014-12-02,,0.1626,0.00043,0.04477,0.00401,0.01618,0.25104,0.0009,0.0708,0.29771
