Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,6813.66,76,0.94,89.23,15000.0,6813.66,178.47,0.0,-178.47,0.0,-178.47,16637.0
2013-01-01,CNY,5986.96,68,1.04,88.29,15000.0,5986.96,88.29,0.0,-88.29,0.0,-88.29,16637.0
2013-01-01,COP,0.0,76,-0.09,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16637.0
2013-01-01,CZK,-2766.61,39,-0.16,-71.0,15000.0,-2766.61,106.5,0.0,-106.5,0.0,-106.5,16637.0
2013-01-01,HUF,6633.89,104,0.25,63.55,15000.0,6633.89,190.64,0.0,-190.64,0.0,-190.64,16637.0
2013-01-01,INR,0.0,56,0.41,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16637.0
2013-01-01,ILS,-3549.86,54,-0.23,-65.64,15000.0,-3549.86,131.28,0.0,-131.28,0.0,-131.28,16637.0
2013-01-01,KRW,9098.02,57,1.05,160.02,15000.0,9098.02,240.03,-0.0,-240.03,0.0,-240.03,16637.0
2013-01-01,MXN,0.0,46,-0.07,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16637.0
2013-01-01,PLN,-7626.7,67,-0.96,-114.45,15000.0,-7626.7,171.67,-0.0,-171.67,0.0,-171.67,16637.0
2013-01-01,ZAR,-8487.05,66,-0.81,-128.38,15000.0,-8487.05,192.57,0.0,-192.57,0.0,-192.57,16637.0
2013-01-02,CLP,6813.66,76,0.95,89.58,15000.0,0.0,0.0,-393.19,-393.19,-393.19,-571.66,16702.0
2013-01-02,CNY,5986.96,67,0.98,88.71,15000.0,0.0,0.0,-577.04,-577.04,-577.04,-665.33,16702.0
2013-01-02,COP,0.0,75,-0.11,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16702.0
2013-01-02,CZK,-2766.61,39,-0.05,-71.23,15000.0,0.0,0.0,259.35,259.35,259.35,152.86,16702.0
2013-01-02,HUF,6633.89,104,0.08,63.74,15000.0,0.0,0.0,373.73,373.73,373.73,183.09,16702.0
2013-01-02,INR,0.0,56,0.41,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16702.0
2013-01-02,ILS,-3549.86,54,-0.16,-65.78,15000.0,0.0,0.0,337.01,337.01,337.01,205.73,16702.0
2013-01-02,KRW,9098.02,57,1.05,160.79,15000.0,0.0,0.0,-122.45,-122.45,-122.45,-362.48,16702.0
2013-01-02,MXN,0.0,46,-0.18,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16702.0
2013-01-02,PLN,-7626.7,67,-0.9,-113.74,15000.0,0.0,0.0,832.16,832.16,832.16,660.49,16702.0
2013-01-02,ZAR,-8487.05,66,-0.81,-129.1,15000.0,0.0,0.0,-46.71,-46.71,-46.71,-239.27,16702.0
2013-01-03,CLP,6813.66,76,0.94,90.03,15000.0,0.0,0.0,-44.21,-44.21,-437.4,-615.86,16840.0
2013-01-03,CNY,5986.96,67,1.01,89.09,15000.0,0.0,0.0,-15.6,-15.6,-592.64,-680.93,16840.0
2013-01-03,COP,0.0,75,-0.07,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16840.0
2013-01-03,CZK,-2766.61,39,-0.05,-71.42,15000.0,0.0,0.0,66.71,66.71,326.07,219.57,16840.0
2013-01-03,HUF,6633.89,103,-0.02,64.1,15000.0,0.0,0.0,113.32,113.32,487.05,296.41,16840.0
2013-01-03,INR,0.0,56,0.42,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16840.0
2013-01-03,ILS,-3549.86,54,-0.1,-65.63,15000.0,0.0,0.0,100.77,100.77,437.77,306.49,16840.0
2013-01-03,KRW,9098.02,57,1.02,160.92,15000.0,0.0,0.0,877.5,877.5,755.05,515.03,16840.0
2013-01-03,MXN,0.0,45,-0.07,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16840.0
2013-01-03,PLN,-7626.7,68,-0.84,-111.53,15000.0,0.0,0.0,782.62,782.62,1614.79,1443.12,16840.0
2013-01-03,ZAR,-8487.05,65,-0.76,-129.63,15000.0,0.0,0.0,443.0,443.0,396.3,203.73,16840.0
2013-01-04,CLP,6813.66,75,0.92,90.54,15000.0,0.0,0.0,96.89,96.89,-340.51,-518.97,17068.0
2013-01-04,CNY,5986.96,67,1.17,89.04,15000.0,0.0,0.0,-539.38,-539.38,-1132.02,-1220.31,17068.0
2013-01-04,COP,-8982.2,80,-1.18,-111.6,15000.0,-8982.2,334.8,0.0,-334.8,0.0,-334.8,17068.0
2013-01-04,CZK,-2766.61,39,0.02,-71.44,15000.0,0.0,0.0,86.17,86.17,412.24,305.74,17068.0
2013-01-04,HUF,3411.75,103,0.01,32.97,15000.0,-3222.14,93.39,-949.8,-1043.2,-462.75,-746.79,17068.0
2013-01-04,INR,0.0,56,0.45,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,17068.0
2013-01-04,ILS,-719.46,55,0.02,-13.13,15000.0,2830.41,105.02,319.39,214.37,757.17,520.87,17068.0
2013-01-04,KRW,9098.02,56,1.01,161.71,15000.0,0.0,0.0,-165.49,-165.49,589.56,349.53,17068.0
2013-01-04,MXN,0.0,45,0.03,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,17068.0
2013-01-04,PLN,-4384.48,70,-0.76,-62.63,15000.0,3242.22,73.35,297.22,223.87,1912.01,1666.98,17068.0
2013-01-04,ZAR,-8487.05,66,-0.7,-129.57,15000.0,0.0,0.0,593.75,593.75,990.04,797.48,17068.0
2013-01-07,CLP,6813.66,75,0.92,91.05,15000.0,0.0,0.0,-6.5,-6.5,-347.0,-525.47,17076.0
2013-01-07,CNY,5986.96,67,1.28,89.31,15000.0,0.0,0.0,322.69,322.69,-809.33,-897.62,17076.0
2013-01-07,COP,-8982.2,80,-1.01,-112.09,15000.0,0.0,0.0,3745.15,3745.15,3745.15,3410.36,17076.0
2013-01-07,CZK,-2766.61,39,0.04,-71.45,15000.0,0.0,0.0,-173.55,-173.55,238.7,132.2,17076.0
2013-01-07,HUF,3411.75,103,0.06,33.01,15000.0,0.0,0.0,-14.82,-14.82,-477.57,-761.6,17076.0
2013-01-07,INR,0.0,55,0.46,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,17076.0
2013-01-07,ILS,-719.46,55,0.11,-13.01,15000.0,0.0,0.0,-18.37,-18.37,738.8,502.5,17076.0
2013-01-07,KRW,9098.02,56,1.02,162.56,15000.0,0.0,0.0,-81.7,-81.7,507.86,267.83,17076.0
2013-01-07,MXN,0.0,45,-0.02,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,17076.0
2013-01-07,PLN,-4384.48,71,-0.68,-61.66,15000.0,0.0,0.0,-107.13,-107.13,1804.89,1559.86,17076.0
2013-01-07,ZAR,-8487.05,65,-0.69,-130.07,15000.0,0.0,0.0,-471.04,-471.04,519.0,326.43,17076.0
2013-01-08,CLP,6813.66,74,0.92,91.58,15000.0,0.0,0.0,47.25,47.25,-299.76,-478.22,15751.0
2013-01-08,CNY,5986.96,67,1.34,89.78,15000.0,0.0,0.0,323.1,323.1,-486.23,-574.52,15751.0
2013-01-08,COP,-8982.2,81,-0.89,-111.49,15000.0,0.0,0.0,-1127.13,-1127.13,2618.02,2283.22,15751.0
2013-01-08,CZK,-2766.61,39,-0.04,-71.6,15000.0,0.0,0.0,-73.25,-73.25,165.44,58.95,15751.0
2013-01-08,HUF,3411.75,103,0.1,33.13,15000.0,0.0,0.0,120.13,120.13,-357.44,-641.47,15751.0
2013-01-08,INR,0.0,55,0.54,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,15751.0
2013-01-08,ILS,-719.46,55,0.13,-13.0,15000.0,0.0,0.0,-50.96,-50.96,687.84,451.54,15751.0
2013-01-08,KRW,6435.5,56,0.99,115.34,15000.0,-2662.52,70.82,457.82,387.0,965.68,654.83,15751.0
2013-01-08,MXN,0.0,45,-0.17,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,15751.0
2013-01-08,PLN,-4384.48,71,-0.53,-61.62,15000.0,0.0,0.0,-501.37,-501.37,1303.52,1058.49,15751.0
2013-01-08,ZAR,-8487.05,65,-0.73,-130.72,15000.0,0.0,0.0,-308.9,-308.9,210.11,17.54,15751.0
2013-01-09,CLP,6813.66,74,0.9,91.95,15000.0,0.0,0.0,259.57,259.57,-40.18,-218.65,17613.0
2013-01-09,CNY,9028.16,66,1.4,136.07,15000.0,3041.2,46.29,-17.12,-63.41,-503.34,-637.93,17613.0
2013-01-09,COP,-8982.2,80,-0.69,-111.93,15000.0,0.0,0.0,759.02,759.02,3377.04,3042.25,17613.0
