Date,Currency,Optimal Risk Weight,Std Dev,Expected Return,Optimal DV01,Portfolio Volatility,1-Day Change,T-Costs,1D Gross Return,1D Net Return,Cumulative Gross Return,Cumulative Net Return,DV01 Portfolio Volatility
2013-01-01,CLP,0.0,76,-0.06,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16063.0
2013-01-01,CNY,0.0,68,-0.08,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,0.0,16063.0
2013-01-01,COP,7605.13,76,0.62,100.62,15000.0,7605.13,301.87,-0.0,-301.87,0.0,-301.87,16063.0
2013-01-01,CZK,3402.87,39,0.17,87.33,15000.0,3402.87,130.99,0.0,-130.99,0.0,-130.99,16063.0
2013-01-01,HUF,3221.39,104,0.03,30.86,15000.0,3221.39,92.57,0.0,-92.57,0.0,-92.57,16063.0
2013-01-01,INR,-3124.72,56,-0.22,-55.37,15000.0,-3124.72,110.73,0.0,-110.73,0.0,-110.73,16063.0
2013-01-01,ILS,-5809.7,54,-0.41,-107.43,15000.0,-5809.7,214.86,0.0,-214.86,0.0,-214.86,16063.0
2013-01-01,KRW,2572.01,57,0.03,45.24,15000.0,2572.01,67.86,-0.0,-67.86,0.0,-67.86,16063.0
2013-01-01,MXN,10700.6,46,0.99,232.86,15000.0,10700.6,232.86,-0.0,-232.86,0.0,-232.86,16063.0
2013-01-01,PLN,-8364.3,67,-0.61,-125.52,15000.0,-8364.3,188.27,-0.0,-188.27,0.0,-188.27,16063.0
2013-01-01,ZAR,-3203.11,66,-0.25,-48.45,15000.0,-3203.11,72.68,0.0,-72.68,0.0,-72.68,16063.0
2013-01-02,CLP,-3139.93,76,-0.18,-41.28,15000.0,-3139.93,82.56,-0.0,-82.56,0.0,-82.56,16422.0
2013-01-02,CNY,0.0,67,0.04,0.0,15000.0,0.0,0.0,-0.0,-0.0,0.0,0.0,16422.0
2013-01-02,COP,7605.13,75,0.57,101.01,15000.0,0.0,0.0,232.52,232.52,232.52,-69.35,16422.0
2013-01-02,CZK,3402.87,39,0.24,87.61,15000.0,0.0,0.0,-319.0,-319.0,-319.0,-449.99,16422.0
2013-01-02,HUF,3221.39,104,0.1,30.95,15000.0,0.0,0.0,181.48,181.48,181.48,88.91,16422.0
2013-01-02,INR,-3124.72,56,-0.17,-55.56,15000.0,0.0,0.0,10.91,10.91,10.91,-99.82,16422.0
2013-01-02,ILS,-5809.7,54,-0.35,-107.65,15000.0,0.0,0.0,551.55,551.55,551.55,336.69,16422.0
2013-01-02,KRW,2572.01,57,0.1,45.46,15000.0,0.0,0.0,-34.62,-34.62,-34.62,-102.47,16422.0
2013-01-02,MXN,10700.6,46,0.93,234.08,15000.0,0.0,0.0,260.88,260.88,260.88,28.02,16422.0
2013-01-02,PLN,-8364.3,67,-0.54,-124.74,15000.0,0.0,0.0,912.65,912.65,912.65,724.37,16422.0
2013-01-02,ZAR,-3203.11,66,-0.35,-48.72,15000.0,0.0,0.0,-17.63,-17.63,-17.63,-90.31,16422.0
2013-01-03,CLP,-3139.93,76,-0.27,-41.49,15000.0,0.0,0.0,20.37,20.37,20.37,-62.19,16682.0
2013-01-03,CNY,3422.4,67,0.17,50.93,15000.0,3422.4,50.93,-0.0,-50.93,0.0,-50.93,16682.0
2013-01-03,COP,7605.13,75,0.54,101.49,15000.0,0.0,0.0,336.21,336.21,568.72,266.86,16682.0
2013-01-03,CZK,3402.87,39,0.31,87.85,15000.0,0.0,0.0,-82.06,-82.06,-401.06,-532.04,16682.0
2013-01-03,HUF,3221.39,103,0.16,31.13,15000.0,0.0,0.0,55.03,55.03,236.51,143.94,16682.0
2013-01-03,INR,-3124.72,56,-0.14,-55.76,15000.0,0.0,0.0,17.5,17.5,28.4,-82.33,16682.0
2013-01-03,ILS,-5809.7,54,-0.3,-107.42,15000.0,0.0,0.0,164.91,164.91,716.46,501.6,16682.0
2013-01-03,KRW,2572.01,57,0.16,45.49,15000.0,0.0,0.0,248.07,248.07,213.45,145.6,16682.0
2013-01-03,MXN,10700.6,45,0.88,235.32,15000.0,0.0,0.0,-653.95,-653.95,-393.07,-625.93,16682.0
2013-01-03,PLN,-8364.3,68,-0.49,-122.32,15000.0,0.0,0.0,858.31,858.31,1770.96,1582.68,16682.0
2013-01-03,ZAR,-3203.11,65,-0.44,-48.92,15000.0,0.0,0.0,167.19,167.19,149.57,76.89,16682.0
2013-01-04,CLP,-6099.94,75,-0.31,-81.06,15000.0,-2960.01,79.14,-44.65,-123.79,-24.28,-185.98,17666.0
2013-01-04,CNY,3422.4,67,0.26,50.9,15000.0,0.0,0.0,-308.33,-308.33,-308.33,-359.26,17666.0
2013-01-04,COP,7605.13,80,0.5,94.49,15000.0,0.0,0.0,3821.97,3821.97,4390.69,4088.82,17666.0
2013-01-04,CZK,6146.01,39,0.35,158.71,15000.0,2743.15,106.29,-105.99,-212.28,-507.05,-744.32,17666.0
